成品代號,成品名稱
702AT006,(外)KOALA純果凍-芒果130gX8粒X3組
702AW003,(外)KOALA零卡果凍-水蜜桃130gX8粒X3組
702AX007,(外)KOALA零卡果凍-百香果130gX8粒X3組
702AZ007,(外)KOALA純果凍-鳳梨130gX8粒X3組
702BE006,(外)KOALA純果凍-椰子130gX8粒X3組
702BF006,(外)KOALA純果凍-香蕉130gX8粒X3組
702BW006,(外)KOALA純果凍-西瓜130gX8粒X3組
802AU006,(外)水果多果實180gX6粒X4組
802AY008,(外)葡萄多果實180gX6粒X4組
802BA006,(外)蜜柑多果實180gX6粒X4組
802CE002,(外)白桃多果實180gX6粒X4組
102AU013A,綜合鮮果凍(2025年版)180gX6粒X4組
127AR001,零卡寒天果凍-荔枝風味240gX6粒X4組
127AU002,大果實綜合果凍240gX6粒X4組
127AU002A,大果實綜合果凍(2025年版)240gX6粒X4組
127AU007,霸果實綜合鮮果凍300gX6粒X4組
127AU007A,霸果實綜合鮮果凍(網路貼標版)300gX6粒X4組
127AU007B,霸果實綜合鮮果凍(2025年版)300gX6粒X4組
127AU012,零卡果凍-芭樂柳橙風味240gX6粒X4組
127AU013,SOMA蜜桃菁茶鮮果凍240gX6粒X4組
127AU016,SOMA荔枝烏龍鮮果凍240gX6粒X4組
127AV001,零卡果凍-熱帶水果風味240gX6粒X4組
127AY003,大果實葡萄果凍240gX6粒X4組
127AY004A,巨峰葡萄鮮果凍(2025年版)300gX6粒X4組
127AY005,零卡寒天果凍-白葡萄風味240gX6粒X4組
127AY006,霸果實白葡萄果凍300gX6粒X4組
127AY006A,霸果實白葡萄果凍(網路貼標版)300gX6粒X4組
127BA002,大果實蜜柑果凍240gX6粒X4組
127BA003,霸果實蜜柑鮮果凍300gX6粒X4組
127BA003B,霸果實蜜柑鮮果凍(網路貼標版)300gX6粒X4組
127BA006,帝王蜜柑鮮果凍300gX6粒X4組
127BA006A,帝王蜜柑鮮果凍(2025年版)300gX6粒X4組
127BA010,寒天雙層凍(蜜柑+優格)240gX6粒X4組
127BA011,原之果實蜜柑鮮果凍300gX6粒X4組
127CE001,大果實白桃果凍240gX6粒X4組
127CE002,霸果實白桃鮮果凍300gX6粒X4組
127CE002B,霸果實白桃鮮果凍(網路貼標版)300gX6粒X4組
127CE005,完熟白桃鮮果凍300gX6粒X4組
127CE005A,完熟白桃鮮果凍(2025年版)300gX6粒X4組
127CE006,甜潤白桃鮮果凍300gX10粒(單盒裝)
127CE007,原之果實白桃鮮果凍300gX6粒X4組
127CG001,春水良品鮮柚茶凍300gX6粒X4組
127CQ001,原之果實小番茄鮮果凍300gX6粒X4組
927AU014A,(半)霸果實禮盒-帝王蜜柑300g(以粒計)
927AU014B,(半)霸果實禮盒-完熟白桃300g(以粒計)
927AU015A,(半)霸果實每日鮮果凍禮盒-霸果實蜜柑300g(以粒計)
927AU015B,(半)霸果實每日鮮果凍禮盒-霸果實綜合300g(以粒計)
927AU015C,(半)霸果實每日鮮果凍禮盒-霸果實白葡萄300g(以粒計)
128AR001,貴妃荔枝珍珠凍飲275gX12杯
828AC001,(外)蘆薈凍飲-蜂蜜檸檬285gX12杯
828CG001,(外)蘆薈凍飲-葡萄柚285gX12杯
827AU007,(外)霸果實綜合鮮果凍300gX6粒X4組
827AY002,(外)大果實葡萄果凍240gX6粒X4組
827BA001,(外)大果實蜜柑果凍240gX6粒X4組
827BA003,(外)霸果實蜜柑鮮果凍300gX6粒X4組
827CE002A,(外)霸果實白桃鮮果凍300gX6粒X4組
926AA001,(半)DR.Q草莓蒟蒻19g/小包
926AA002,(半)DR.Q草莓蒟蒻(大陸簡體版)19g/小包
926AA004,(半)DR.Q果汁果凍-草莓(韓文)60g/小包
926AA005,(半)史努比草莓蒟蒻19g/小包(174mm)
926AP001,(半)DR.Q茶蒟蒻-多多綠茶19g/小包
926AP001A,(半)DR.Q優多綠茶蒟蒻19g/小包
926AR001,(半)DR.Q荔枝蒟蒻19g/小包
926AR001A,(半)DR.Q荔枝蒟蒻19g/小包(174mm)
926AR002,(半)DR.Q荔枝蒟蒻(大陸簡體版)19g/小包
926AR006,(半)DR.Q果汁果凍-荔枝(韓文)60g/小包
926AR007,(半)OPEN！荔枝蒟蒻19g/小包(174mm)
926AR008,(半)DR.Q荔枝蒟蒻(哆啦A夢版)19g/小包
926AT002,(半)DR.Q芒果蒟蒻(大陸簡體版)19g/小包
926AT005,(半)DR.Q果汁果凍-芒果(韓文)60g/小包
926AT006,(半)DR.Q芒果蒟蒻19g/小包(174mm)
926AU002A,(半)DR.Q台酒蒟蒻果醋晶凍-荔枝19g/小包
