品號,品名,中類名稱,貨品規格,庫位
834AD004,(外)微笑河馬餅-巧克力風味(歐盟版)60gX12包,河馬餅,蘇打餅包裝日,B34
834AU004,(外)微笑河馬餅-草莓巧克力風味(歐盟版)60gX12包,河馬餅,蘇打餅包裝日,B35
934AU007C,(半)微笑河馬餅-巧克力20g/小包(以kg計),(半)河馬餅半成品,蘇打餅包裝日,B36
934AU007D,(半)微笑河馬餅-草莓巧克力20g/小包(以kg計),(半)河馬餅半成品,蘇打餅包裝日,B37
934BU001,(半)微笑河馬餅-莓果風味20g/小包(以kg計),(半)河馬餅半成品,蘇打餅包裝日,B38
934CZ001,(半)微笑河馬餅-茶歐蕾風味20g/小包(以kg計),(半)河馬餅半成品,蘇打餅包裝日,B39
934AU007E,(半)微笑河馬餅-巧克力(節貨)20g/小包(以kg計),(半)河馬餅半成品,蘇打餅包裝日,B40
934AU007F,(半)微笑河馬餅-草莓巧克力(節貨)20g/小包(以kg計),(半)河馬餅半成品,蘇打餅包裝日,B41
134AD002,微笑河馬餅-巧克力風味200gX10包,河馬餅,蘇打餅包裝日,B42
134AU002,微笑河馬餅-草莓巧克力風味200gX10包,河馬餅,蘇打餅包裝日,B43
134BU001,(量)微笑河馬餅莓果風味100gX10包,河馬餅,蘇打餅包裝日,B44
134CZ001,(量)微笑河馬餅茶歐蕾風味100gX10包,河馬餅,蘇打餅包裝日,B45
129AA001,蒟蒻習慣-草莓蒟蒻180gX6包X6盒,口栓袋,口栓袋包裝,B46
129AA002,(魷魚遊戲2)蒟蒻習慣-草莓口味180gX6包X6盒,口栓袋,口栓袋包裝,B47
129AC001,低卡檸檬愛玉風味180gX6包X4組,口栓袋,口栓袋包裝,B48
129AG001,低卡咖啡凍-180gX6包X4盒,口栓袋,口栓袋包裝,B49
129AR001,EnergyTime活力充沛(荔枝口味)180gX6包X4組,口栓袋,口栓袋包裝,B50
129AR002,零卡蒟蒻(荔枝風味)180gX6包X4盒,口栓袋,口栓袋包裝,B51
129AR003,EnergyTime機能凍飲GABA PLUS(荔枝口味)180gX6包X4組,口栓袋,口栓袋包裝,B52
129AT001,低卡芒果布丁180gX6包X4組,口栓袋,口栓袋包裝,B53
129AU003,EnergyTime機能凍飲元氣PLUS-180gX6包X4盒,口栓袋,口栓袋包裝,B54
129AU004,EnergyTime機能凍飲電解質PLUS-180gX6包X4盒,口栓袋,口栓袋包裝,B55
129AU006,低卡蜂蜜仙草-180gX6包X4盒,口栓袋,口栓袋包裝,B56
129AY001,蒟蒻習慣-葡萄蒟蒻180gX6包X6盒,口栓袋,口栓袋包裝,B57
129AY002,EnergyTime活力充沛(白葡萄口味)180gX6包X4組,口栓袋,口栓袋包裝,B58
129AY002A,EnergyTime機能凍飲Vitamin PLUS(白葡萄口味)180gX6包X4盒,口栓袋,口栓袋包裝,B59
129AY003,零卡蒟蒻(巨峰葡萄風味)180gX6包X4盒,口栓袋,口栓袋包裝,B60
129BM001,EnergyTime益生菌(乳酸口味)180gX6包X4組,口栓袋,口栓袋包裝,B61
129BQ001,EnergyTime益生菌(蘋果口味)180gX6包X4組,口栓袋,口栓袋包裝,B62
129BU001,EnergyTime晶亮有神(綜合莓果口味)180gX6包X4組,口栓袋,口栓袋包裝,B63
129CE001,蒟蒻習慣-白桃蒟蒻180gX6包X6盒,口栓袋,口栓袋包裝,B64
329AU001,綜合胺基酸活力果凍1200g/盒,口栓袋,口栓袋包裝,B65
329AU002,綜合胺基酸活力果凍100gX12包/盒,口栓袋,口栓袋包裝,B66
329AW001,爭鮮蜜桃姬膠原蛋白凍飲180gX6包X6組,口栓袋,口栓袋包裝,B67
829AY001,(外)蒟蒻習慣-葡萄蒟蒻180gX6包X6盒,口栓袋,口栓袋包裝,B68
829CE001,(外)蒟蒻習慣-白桃蒟蒻180gX6包X6盒,口栓袋,口栓袋包裝,B69
102AU012,水果多果實180gX6粒X4組,大果凍,大果凍A2F包裝,B70
102AU012A,水果多果實(網路貼標版)180gX6粒X4組,大果凍,大果凍A2F包裝,B71
102AU013,綜合鮮果凍180gX6粒X4組,大果凍,大果凍A2F包裝,B72
102AU016,蘋果鳳梨多果實180gX6粒X4組,大果凍,大果凍A2F包裝,B73
102AY009,零卡果凍-白葡萄180gX6粒X4組,大果凍,大果凍A2F包裝,B74
102AY009A,零卡果凍-白葡萄口味(2025年版)180gX6粒X4組,大果凍,大果凍A2F包裝,B75
102AY014,葡萄多果實180gX6粒X4組,大果凍,大果凍A2F包裝,B76
102AY014A,葡萄多果實(網路貼標版)180gX6粒X4組,大果凍,大果凍A2F包裝,B77
